year,region,industry,subsector_letter,info_type,data
2013,UK,Professional and Business Services,N,Average Total Weekly Hours,74505146.73412296
2013,UK,Public Aadmin and Defence,O,Average Total Weekly Hours,49500782.54947804
2013,UK,Education and Health,P,Average Total Weekly Hours,67825680.67664899
2013,UK,Education and Health,Q,Average Total Weekly Hours,111101636.67907952
2013,UK,Leisure and Entertainment,R,Average Total Weekly Hours,20974062.13738829
2013,UK,Other Services,S and T,Average Total Weekly Hours,24858091.51988325
2014,UK,All Industries,All Industries,Average Total Weekly Hours,990493145.388375
2014,UK,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,31977110.62244592
2014,UK,Manufacturing,C,Average Total Weekly Hours,91700960.72683257
2014,UK,Construction,F,Average Total Weekly Hours,76941990.44154632
2014,UK,Trade,G,Average Total Weekly Hours,145675774.82010856
2014,UK,Transport,H,Average Total Weekly Hours,49118643.12638924
2014,UK,Leisure and Entertainment,I,Average Total Weekly Hours,54586201.77072388
2014,UK,Telecoms,J,Average Total Weekly Hours,46684187.54040543
2014,UK,Financial Services,K,Average Total Weekly Hours,38101848.56115474
2014,UK,Financial Services,L,Average Total Weekly Hours,15397678.32195591
2014,UK,Professional and Business Services,M,Average Total Weekly Hours,84205069.07463562
2014,UK,Professional and Business Services,N,Average Total Weekly Hours,77215109.82381152
2014,UK,Public Aadmin and Defence,O,Average Total Weekly Hours,47929373.41565065
2014,UK,Education and Health,P,Average Total Weekly Hours,69877893.1979837
2014,UK,Education and Health,Q,Average Total Weekly Hours,112427549.6571032
2014,UK,Leisure and Entertainment,R,Average Total Weekly Hours,22239359.19689218
2014,UK,Other Services,S and T,Average Total Weekly Hours,26414395.090735637
2015,UK,All Industries,All Industries,Average Total Weekly Hours,997077630.287675
2015,UK,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,30041846.046004515
2015,UK,Manufacturing,C,Average Total Weekly Hours,91595855.0780288
2015,UK,Construction,F,Average Total Weekly Hours,76847141.06519142
2015,UK,Trade,G,Average Total Weekly Hours,145744238.49944478
2015,UK,Transport,H,Average Total Weekly Hours,50647808.961975716
2015,UK,Leisure and Entertainment,I,Average Total Weekly Hours,57060180.85938908
2015,UK,Telecoms,J,Average Total Weekly Hours,46680330.637468666
2015,UK,Financial Services,K,Average Total Weekly Hours,36773931.759853184
2015,UK,Financial Services,L,Average Total Weekly Hours,15923462.165756037
2015,UK,Professional and Business Services,M,Average Total Weekly Hours,86480364.07137354
2015,UK,Professional and Business Services,N,Average Total Weekly Hours,81425444.40355505
2015,UK,Public Aadmin and Defence,O,Average Total Weekly Hours,46344270.27049864
2015,UK,Education and Health,P,Average Total Weekly Hours,69673851.85884173
2015,UK,Education and Health,Q,Average Total Weekly Hours,113128195.25962909
2015,UK,Leisure and Entertainment,R,Average Total Weekly Hours,22815853.22748118
2015,UK,Other Services,S and T,Average Total Weekly Hours,25894856.12318358
2016,UK,All Industries,All Industries,Average Total Weekly Hours,1020534169.6053503
2016,UK,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,30636372.208168693
2016,UK,Manufacturing,C,Average Total Weekly Hours,92215425.9476631
2016,UK,Construction,F,Average Total Weekly Hours,79940508.5124419
2016,UK,Trade,G,Average Total Weekly Hours,145445447.1613195
2016,UK,Transport,H,Average Total Weekly Hours,53923225.152044535
2016,UK,Leisure and Entertainment,I,Average Total Weekly Hours,59308755.22669618
2016,UK,Telecoms,J,Average Total Weekly Hours,48970914.927290216
2016,UK,Financial Services,K,Average Total Weekly Hours,38298152.941774026
2016,UK,Financial Services,L,Average Total Weekly Hours,16405012.764277697
2016,UK,Professional and Business Services,M,Average Total Weekly Hours,90979003.83274417
2016,UK,Professional and Business Services,N,Average Total Weekly Hours,84702991.91903351
2016,UK,Public Aadmin and Defence,O,Average Total Weekly Hours,45507234.4708661
2016,UK,Education and Health,P,Average Total Weekly Hours,70979073.38582446
2016,UK,Education and Health,Q,Average Total Weekly Hours,113570946.03195903
2016,UK,Leisure and Entertainment,R,Average Total Weekly Hours,22856019.759662755
2016,UK,Other Services,S and T,Average Total Weekly Hours,26795085.363584116
2017,UK,All Industries,All Industries,Average Total Weekly Hours,1030364408.3868248
2017,UK,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,32287854.820590273
2017,UK,Manufacturing,C,Average Total Weekly Hours,92003453.98613274
2017,UK,Construction,F,Average Total Weekly Hours,82011003.5616084
2017,UK,Trade,G,Average Total Weekly Hours,146174896.18877402
2017,UK,Transport,H,Average Total Weekly Hours,54700669.78458816
2017,UK,Leisure and Entertainment,I,Average Total Weekly Hours,60202184.83942223
2017,UK,Telecoms,J,Average Total Weekly Hours,50124386.74244095
2017,UK,Financial Services,K,Average Total Weekly Hours,37133635.75913654
2017,UK,Financial Services,L,Average Total Weekly Hours,16473885.62120572
2017,UK,Professional and Business Services,M,Average Total Weekly Hours,90503907.306517
2017,UK,Professional and Business Services,N,Average Total Weekly Hours,86053080.89121395
2017,UK,Public Aadmin and Defence,O,Average Total Weekly Hours,45807497.12272823
2017,UK,Education and Health,P,Average Total Weekly Hours,70202467.1819785
2017,UK,Education and Health,Q,Average Total Weekly Hours,114221666.03078032
2017,UK,Leisure and Entertainment,R,Average Total Weekly Hours,24262208.930151388
2017,UK,Other Services,S and T,Average Total Weekly Hours,28201609.619556434
1997,Scotland,All Industries,All Industries,Average Total Weekly Hours,74615114.60614203
1997,Scotland,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,4101610.6818980696
1997,Scotland,Manufacturing,C,Average Total Weekly Hours,11717298.376553617
1997,Scotland,Construction,F,Average Total Weekly Hours,5856950.912934044
1997,Scotland,Trade,G,Average Total Weekly Hours,11573925.385529555
1997,Scotland,Transport,H,Average Total Weekly Hours,3988738.7876826325
1997,Scotland,Leisure and Entertainment,I,Average Total Weekly Hours,4585646.997693716
1997,Scotland,Telecoms,J,Average Total Weekly Hours,1876751.8936479304
1997,Scotland,Financial Services,K,Average Total Weekly Hours,2608233.059803272
1997,Scotland,Financial Services,L,Average Total Weekly Hours,508860.0031857558
1997,Scotland,Professional and Business Services,M,Average Total Weekly Hours,3853720.667431063
1997,Scotland,Professional and Business Services,N,Average Total Weekly Hours,3974566.7689790074
1997,Scotland,Public Aadmin and Defence,O,Average Total Weekly Hours,5127572.2456628475
1997,Scotland,Education and Health,P,Average Total Weekly Hours,4307399.61085253
1997,Scotland,Education and Health,Q,Average Total Weekly Hours,7497877.023623171
1997,Scotland,Leisure and Entertainment,R,Average Total Weekly Hours,1529483.2524705739
1997,Scotland,Other Services,S and T,Average Total Weekly Hours,1506478.9381942507
1998,Scotland,All Industries,All Industries,Average Total Weekly Hours,76023419.90035576
1998,Scotland,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,4190483.2265926795
1998,Scotland,Manufacturing,C,Average Total Weekly Hours,11790605.373420669
1998,Scotland,Construction,F,Average Total Weekly Hours,6397684.424334262
1998,Scotland,Trade,G,Average Total Weekly Hours,11436942.521129347
1998,Scotland,Transport,H,Average Total Weekly Hours,4313767.475641933
1998,Scotland,Leisure and Entertainment,I,Average Total Weekly Hours,4674856.822828757
1998,Scotland,Telecoms,J,Average Total Weekly Hours,1817562.0652761427
1998,Scotland,Financial Services,K,Average Total Weekly Hours,2809629.7869699486
